Company,EMP_ID,Job Classification,Job Title,Region,Job Location,Division, Org/department of the employee,Division Revenue / year, Average tenure in the company, Total years of experience,Pay Grade, Total CTC ,Compa-ratio,Join year,Left year,Impact-Leaving,Reason-Leaving,Skill Level (out of 10), Input - avergage cost of rehire,Cost to train/year,Average courses/year, # of tickets/year, # of re-opens for a tickets/ year,customer satisfaction score ( out of 10),avg ticket complexity(out of 10),avg duration to close(hrs), Average score of positive feedback from customer sentiment (out of 10), Average score of negative feedback from customer sentiment (out of 10),Overall_Performance_Rating,Overall_Performance_Rating_Description,newtoposition,Manager,future_leader,Gender,Married,exit_interview_overallscore(out of 10),rehire?,left
Nikey R & D ,187213,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z12,"$40,343 ",0.72,2017,2019,High, Resignation to Competitor,6,8439,1098,2,170,56,5,9,1,8,9,3,Successful,No,No,No,F,NO,3,No,1
Alphabet-Soup Research & Development,497393,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z12,"$40,343 ",0.72,2014,2019,High, Resignation to Competitor,6,6905,979,3,159,74,7,7,2,6,6,3,Successful,No,No,No,F,NO,5,No,1
Netflex R & D,668386,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z13,"$40,343 ",0.72,2015,2019,High,Personal,8,6736,1287,1,80,80,8,9,1,5,7,3,Successful,No,No,No,F,NO,6,No,1
Amazing R & D,495140,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z14,"$40,343 ",0.72,2015,2017,High,Personal,5,6114,1113,2,114,74,6,5,2,6,8,3,Insufficient,Yes,No,Yes,F,NO,5,No,1
Nikey R & D ,384530,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z15,"$37,877 ",0.82,2015,2018,Low,Personal,5,7424,894,2,133,55,6,9,1,8,5,3,Insufficient,yes,No,yes,F,NO,7,No,1
Alphabet-Soup Research & Development,791650,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z16,"$43,897 ",0.67,2013,2017,Med,Personal,5,5591,949,3,85,67,8,8,1,4,4,3,Insufficient,no,Yes,No,M,NO,7,No,0
Netflex R & D,652617,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z17,"$39,996 ",0.67,2014,2017,Med,Personal,8,5766,933,2,80,74,9,4,2,8,9,3,Insufficient,yes,yes,No,M,NO,5,No,1
Amazing R & D,388117,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z18,"$39,000 ",0.78,2015,2019,Low,Personal,6,5384,983,2,122,61,5,5,1,9,9,3,Insufficient,yes,No,No,M,NO,7,yes,0
Nikey R & D ,554958,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z19,"$39,000 ",0.78,2015,2018,High,Personal,7,7454,1410,3,146,50,9,8,1,5,6,3,Insufficient,yes,No,No,F,NO,7,Yes,1
Alphabet-Soup Research & Development,232986,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z20,"$48,000 ",0.78,2015,2017,High,Marriage,8,5421,932,3,142,62,7,6,2,6,9,3,Insufficient,No,No,No,F,NO,6,No,1
Netflex R & D,554008,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z21,"$48,000 ",0.78,2012,2017,High, Resignation to Competitor,7,4518,1295,3,184,72,6,9,1,6,7,3,Insufficient,No,No,Yes,F,NO,5,No,0
Amazing R & D,299455,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z22,"$48,000 ",0.78,2017,2019,High, Terminaton - School,6,5136,1197,3,151,72,9,6,1,8,9,3,Insufficient,No,No,yes,F,NO,2,No,0
Nikey R & D ,763842,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z12,"$48,000 ",0.78,2012,2017,High,Personal,6,5302,1124,1,115,63,6,4,2,8,4,3,Insufficient,No,No,No,F,NO,3,No,0
Alphabet-Soup Research & Development,353272,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z12,"$48,000 ",0.78,2015,2018,Low,Inv Elimination of Position,6,7010,972,1,154,77,7,9,2,8,7,3,Insufficient,No,Yes,No,M,YES,3,No,1
Netflex R & D,572417,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z13,"$48,000 ",0.78,2017,2019,Med,Compensation,7,5670,1289,2,186,80,5,4,1,8,6,3,Insufficient,No,yes,No,M,YES,6,No,1
Amazing R & D,761013,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z14,"$48,000 ",0.78,2015,2017,Med,Compensation,8,4629,1256,2,81,79,4,7,2,8,9,1,Outstanding,No,No,No,M,NO,7,No,1
Nikey R & D ,430084,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z15,"$48,000 ",0.78,2014,2017,Low,Compensation,6,5625,1030,2,143,65,8,7,2,7,9,1,Outstanding,No,No,No,F,NO,7,No,1
Alphabet-Soup Research & Development,570451,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z16,"$48,000 ",0.78,2015,2017,High,Compensation,5,5026,986,1,123,56,7,7,2,7,4,1,Successful,Yes,No,No,F,NO,6,yes,1
Netflex R & D,392517,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$48,000 ",0.78,2014,2018,High,Compensation,6,5309,1047,1,81,64,9,7,1,9,6,1,Successful,yes,No,Yes,F,NO,2,Yes,0
Amazing R & D,148014,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z18,"$48,000 ",0.78,2012,2017,High, Resignation to Competitor,7,5014,1225,3,104,76,6,5,1,6,5,1,Insufficient,no,No,yes,F,NO,2,No,0
Nikey R & D ,627147,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z19,"$48,000 ",0.78,2014,2019,High, Resignation to Competitor,8,6870,1185,2,87,61,4,7,1,4,9,1,Successful,yes,No,No,F,NO,2,No,1
Alphabet-Soup Research & Development,226472,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z20,"$48,000 ",0.78,2017,2019,High, Resignation to Competitor,7,5137,1368,3,103,64,5,5,2,6,6,1,Successful,yes,Yes,No,M,NO,4,No,1
Netflex R & D,546227,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z21,"$48,000 ",0.78,2013,2017,Low, Resignation to Competitor,5,6650,1120,1,117,72,4,6,2,7,8,1,Successful,yes,yes,No,M,NO,5,No,1
Amazing R & D,121034,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z22,"$48,000 ",0.78,2014,2019,Med, Resignation to Competitor,5,6188,1168,1,122,66,7,6,2,6,8,1,Successful,No,No,No,M,NO,7,No,0
Nikey R & D ,575700,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z12,"$48,000 ",0.78,2014,2019,Med, Resignation to Competitor,6,4783,995,1,128,52,9,7,2,4,7,1,Successful,No,No,No,F,NO,5,No,1
Alphabet-Soup Research & Development,382810,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z12,"$40,343 ",0.72,2013,2017,Low, Resignation to Competitor,5,5041,986,2,183,70,5,9,1,6,8,1,Successful,No,No,Yes,F,NO,4,No,1
Netflex R & D,324420,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z13,"$40,343 ",0.72,2013,2018,High, Resignation to Competitor,8,7268,1238,2,131,53,4,9,2,9,6,1,Successful,No,No,yes,F,NO,5,No,0
Amazing R & D,427238,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z14,"$40,343 ",0.72,2012,2017,High,Personal,6,5550,1395,3,182,62,6,9,2,8,9,1,Successful,No,No,No,F,NO,3,yes,1
Nikey R & D ,396617,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z15,"$40,343 ",0.72,2015,2017,High,Personal,5,4504,1359,2,177,78,6,9,2,7,5,1,Successful,No,No,No,F,NO,4,Yes,0
Alphabet-Soup Research & Development,426036,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z16,"$40,343 ",0.72,2016,2019,High,Personal,5,4422,1291,3,163,69,8,5,2,8,6,2,Successful,No,Yes,No,M,NO,4,No,1
Netflex R & D,300901,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z17,"$40,343 ",0.72,2017,2019,High,Personal,6,6778,1196,1,81,54,4,4,1,7,8,2,Successful,No,yes,No,M,NO,7,No,0
Amazing R & D,525685,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z18,"$40,343 ",0.72,2015,2018,Low,Personal,6,5317,1301,1,113,77,9,6,2,4,6,2,Successful,Yes,No,No,M,NO,3,No,1
Nikey R & D ,102538,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z19,"$40,343 ",0.72,2016,2019,Med,Personal,5,7638,1125,3,175,75,9,8,1,7,4,2,Successful,yes,No,No,F,NO,7,No,0
Alphabet-Soup Research & Development,186530,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z20,"$37,877 ",0.82,2014,2019,Med,Personal,8,6162,1158,2,89,69,4,9,2,6,4,2,Successful,no,No,Yes,F,NO,3,No,1
Netflex R & D,575087,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z21,"$43,897 ",0.67,2013,2017,Low,Marriage,6,8415,1320,1,96,61,9,6,2,9,5,1,Successful,yes,No,yes,F,NO,6,No,1
Amazing R & D,686840,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z22,"$39,996 ",0.67,2016,2018,High, Resignation to Competitor,8,4854,904,1,176,71,4,7,2,5,4,1,Successful,yes,No,No,F,NO,3,No,0
Nikey R & D ,156215,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z12,"$39,000 ",0.78,2014,2018,High, Terminaton - School,6,7893,1163,2,154,75,7,6,1,4,8,1,Insufficient,yes,No,No,F,NO,2,No,1
Alphabet-Soup Research & Development,416122,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z12,"$39,000 ",0.78,2016,2019,High,Personal,8,6285,1380,3,93,54,9,8,2,5,9,1,Insufficient,No,Yes,No,M,YES,3,yes,1
Netflex R & D,631286,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z13,"$48,000 ",0.78,2016,2018,High,Inv Elimination of Position,8,6627,1047,2,164,63,9,7,2,7,5,1,Insufficient,No,yes,No,M,YES,3,Yes,1
Amazing R & D,739441,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z14,"$48,000 ",0.78,2013,2018,High,Compensation,8,6612,1168,3,94,62,7,6,1,5,8,1,Insufficient,No,No,No,M,NO,3,No,0
Nikey R & D ,326233,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z15,"$48,000 ",0.78,2014,2019,Low,Compensation,7,7999,1021,3,190,58,8,8,1,9,5,5,Insufficient,No,No,Yes,F,NO,3,No,1
Alphabet-Soup Research & Development,429835,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z16,"$48,000 ",0.78,2014,2017,Med,Compensation,7,8316,1032,3,178,54,4,4,1,9,7,5,Insufficient,No,No,yes,F,NO,7,No,1
Netflex R & D,636282,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$48,000 ",0.78,2014,2018,Med,Compensation,6,4456,1398,2,116,59,4,9,2,4,4,5,Insufficient,No,No,No,F,NO,6,No,1
Amazing R & D,708263,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z18,"$48,000 ",0.78,2014,2017,Low,Compensation,8,4557,995,2,104,55,8,5,2,4,5,5,Insufficient,No,No,No,F,NO,2,No,1
Nikey R & D ,657224,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z19,"$48,000 ",0.78,2014,2017,High, Resignation to Competitor,6,5362,904,3,148,69,7,4,2,5,9,5,Insufficient,No,No,No,F,NO,6,No,0
Alphabet-Soup Research & Development,157485,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z20,"$48,000 ",0.78,2014,2019,High, Resignation to Competitor,6,8116,1355,2,121,63,9,8,1,7,5,5,Insufficient,Yes,Yes,No,M,NO,5,No,0
Netflex R & D,103271,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z21,"$48,000 ",0.78,2013,2017,High, Resignation to Competitor,7,7637,1207,1,131,55,8,7,2,4,9,5,Insufficient,yes,yes,No,M,NO,5,No,0
Amazing R & D,217337,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z22,"$48,000 ",0.78,2015,2017,High, Resignation to Competitor,8,6516,1437,2,161,59,5,5,1,8,5,5,Insufficient,no,No,No,M,NO,2,yes,1
Nikey R & D ,722369,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z12,"$48,000 ",0.78,2015,2019,High, Resignation to Competitor,6,5901,1200,2,139,54,9,7,2,4,8,5,Outstanding,yes,No,Yes,F,NO,2,Yes,1
Alphabet-Soup Research & Development,241985,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z12,"$48,000 ",0.78,2013,2017,Low, Resignation to Competitor,7,4925,1079,2,90,78,7,9,1,6,9,5,Outstanding,yes,No,yes,F,NO,4,No,1
Netflex R & D,674590,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z13,"$48,000 ",0.78,2014,2017,Med, Resignation to Competitor,6,6608,1076,3,88,50,5,7,2,9,4,5,Successful,yes,No,No,F,NO,3,No,1
Amazing R & D,687532,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z14,"$48,000 ",0.78,2014,2017,Med, Resignation to Competitor,8,5976,1401,2,157,67,4,5,1,5,9,3,Successful,No,No,No,F,NO,5,No,1
Nikey R & D ,737138,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z15,"$48,000 ",0.78,2015,2017,Low,Personal,7,6045,913,2,142,65,9,8,2,5,8,3,Insufficient,No,No,No,F,NO,6,No,1
Alphabet-Soup Research & Development,688096,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z16,"$48,000 ",0.78,2014,2018,High,Personal,7,7383,1383,2,136,55,7,8,2,6,7,3,Successful,No,Yes,No,M,NO,7,No,1
Netflex R & D,552413,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$40,343 ",0.72,2013,2017,High,Personal,5,7376,1235,3,102,57,4,6,2,8,4,3,Successful,No,yes,No,M,NO,7,No,1
Amazing R & D,598955,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z18,"$40,343 ",0.72,2017,2019,High,Personal,7,5911,1291,3,98,66,7,8,1,9,4,3,Successful,No,No,Yes,M,NO,7,No,1
Nikey R & D ,589679,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z19,"$40,343 ",0.72,2015,2018,High,Personal,8,8212,874,1,159,75,5,8,2,6,9,3,Successful,No,No,yes,F,NO,7,No,1
Alphabet-Soup Research & Development,187820,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z20,"$40,343 ",0.72,2014,2018,High,Personal,7,7014,1393,3,83,68,4,5,2,7,5,3,Successful,No,No,No,F,NO,4,yes,0
Netflex R & D,706912,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z21,"$40,343 ",0.72,2013,2017,Low,Personal,8,5797,913,2,172,71,5,9,2,6,5,3,Successful,No,No,No,F,NO,6,Yes,0
Amazing R & D,753312,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z22,"$40,343 ",0.72,2015,2017,Med,Marriage,6,6543,1166,3,99,69,7,6,2,6,7,3,Successful,Yes,No,No,F,NO,3,No,1
Nikey R & D ,658119,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z12,"$40,343 ",0.72,2013,2018,Med, Resignation to Competitor,7,5125,1175,1,181,54,9,4,1,9,5,3,Successful,yes,No,No,F,NO,3,No,0
Alphabet-Soup Research & Development,757361,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z12,"$40,343 ",0.72,2013,2017,Low, Terminaton - School,8,4459,1282,1,155,73,5,6,1,4,8,3,Successful,no,Yes,No,M,YES,3,No,0
Netflex R & D,439658,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z13,"$37,877 ",0.82,2017,2019,High,Personal,5,5274,965,1,147,58,6,4,2,4,9,3,Successful,yes,yes,No,M,YES,2,No,1
Amazing R & D,223431,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z14,"$43,897 ",0.67,2014,2018,High,Inv Elimination of Position,5,6571,880,1,118,70,9,9,1,9,7,3,Successful,yes,No,Yes,M,NO,5,No,0
Nikey R & D ,246775,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z15,"$39,996 ",0.67,2016,2018,High,Compensation,5,6663,1138,1,180,79,4,4,2,9,7,3,Successful,yes,No,yes,F,NO,7,No,1
Alphabet-Soup Research & Development,649198,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z16,"$39,000 ",0.78,2012,2017,High,Compensation,5,5390,1211,2,134,54,4,6,2,4,5,3,Successful,No,No,No,F,NO,6,No,0
Netflex R & D,649172,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z17,"$39,000 ",0.78,2015,2019,High,Compensation,8,5388,1284,1,119,75,6,4,2,9,9,3,Successful,No,No,No,F,NO,4,No,0
Amazing R & D,153797,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z18,"$48,000 ",0.78,2016,2018,Low,Compensation,8,4418,1333,1,158,72,7,8,1,8,7,3,Successful,No,No,No,F,NO,5,yes,1
Nikey R & D ,669239,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z19,"$48,000 ",0.78,2014,2017,Med,Compensation,6,5932,1410,1,84,69,9,7,2,7,7,3,Successful,No,No,No,F,NO,5,Yes,0
Alphabet-Soup Research & Development,260904,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z20,"$48,000 ",0.78,2014,2017,Med, Resignation to Competitor,8,7726,988,2,152,74,8,6,1,8,9,3,Insufficient,No,Yes,No,M,NO,2,No,0
Netflex R & D,543050,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z21,"$48,000 ",0.78,2014,2017,Low, Resignation to Competitor,5,4860,1234,2,145,51,7,6,2,6,4,3,Insufficient,No,yes,Yes,M,NO,2,No,0
Amazing R & D,346499,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z22,"$48,000 ",0.78,2015,2017,High, Resignation to Competitor,8,4879,902,2,186,78,6,9,2,6,9,3,Insufficient,No,No,yes,M,NO,6,No,1
Nikey R & D ,282067,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z12,"$48,000 ",0.78,2017,2019,High, Resignation to Competitor,6,4563,1449,2,102,51,8,4,1,7,4,3,Insufficient,No,No,No,F,NO,7,No,1
Alphabet-Soup Research & Development,505973,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z12,"$48,000 ",0.78,2016,2019,High, Resignation to Competitor,6,6010,889,3,96,65,8,4,1,5,5,3,Insufficient,Yes,No,No,F,NO,3,No,1
Netflex R & D,394277,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z13,"$48,000 ",0.78,2015,2019,High, Resignation to Competitor,8,5295,1124,1,98,73,6,6,2,8,6,3,Insufficient,yes,No,No,F,NO,2,No,1
Amazing R & D,353743,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z14,"$48,000 ",0.78,2015,2019,High, Resignation to Competitor,7,5059,1132,1,147,71,8,4,2,9,7,1,Insufficient,no,No,No,F,NO,7,No,0
Nikey R & D ,104513,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z15,"$48,000 ",0.78,2016,2018,Low, Resignation to Competitor,6,5391,933,3,120,51,4,5,1,8,5,1,Insufficient,yes,No,No,F,NO,3,No,0
Alphabet-Soup Research & Development,819918,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z16,"$48,000 ",0.78,2014,2019,Med,Personal,7,5603,1126,2,111,51,8,8,2,5,6,1,Insufficient,yes,Yes,No,M,NO,2,yes,1
Netflex R & D,106744,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z17,"$48,000 ",0.78,2014,2019,Med,Personal,7,6698,936,3,82,77,6,9,2,9,5,1,Insufficient,yes,yes,Yes,M,NO,4,Yes,0
Amazing R & D,193080,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z18,"$48,000 ",0.78,2014,2019,Low,Personal,7,6497,1307,3,182,56,7,8,2,5,6,1,Insufficient,No,No,yes,M,NO,2,No,0
Nikey R & D ,428121,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z19,"$48,000 ",0.78,2014,2019,High,Personal,5,8423,1011,1,144,73,9,7,1,5,7,1,Insufficient,No,No,No,F,NO,4,No,1
Alphabet-Soup Research & Development,308208,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z20,"$48,000 ",0.78,2015,2017,High,Personal,5,7392,1402,2,98,71,7,5,2,7,7,1,Outstanding,No,No,No,F,NO,6,No,1
Netflex R & D,590712,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z21,"$48,000 ",0.78,2016,2019,High,Personal,8,4865,1440,1,182,58,4,9,1,8,7,1,Outstanding,No,No,No,F,NO,5,No,1
Amazing R & D,817851,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z22,"$40,343 ",0.72,2014,2018,High,Personal,7,4884,1043,1,177,74,4,8,1,9,8,3,Successful,No,No,No,F,NO,7,No,1
Nikey R & D ,567897,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z12,"$40,343 ",0.72,2017,2019,High,Marriage,7,6749,1310,2,103,51,9,4,1,7,9,1,Successful,No,No,No,F,NO,7,No,1
Alphabet-Soup Research & Development,673135,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z12,"$40,343 ",0.72,2016,2019,Low, Resignation to Competitor,7,8307,994,3,88,54,7,6,1,7,5,3,Insufficient,No,Yes,Yes,M,YES,2,No,1
Netflex R & D,748180,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z13,"$40,343 ",0.72,2014,2019,Med, Terminaton - School,5,7858,1276,1,167,51,6,7,1,9,8,3,Successful,No,yes,yes,M,YES,5,No,1
Amazing R & D,607085,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z14,"$40,343 ",0.72,2014,2019,Med,Personal,7,4968,1011,3,171,73,9,4,2,5,4,1,Successful,Yes,No,No,M,NO,3,yes,0
Nikey R & D ,772009,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z15,"$40,343 ",0.72,2016,2018,Low,Inv Elimination of Position,8,7740,1050,1,122,80,6,8,1,5,4,3,Successful,yes,No,No,F,NO,3,Yes,1
Alphabet-Soup Research & Development,280726,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z16,"$40,343 ",0.72,2015,2017,High,Compensation,8,5605,876,2,189,55,8,4,2,9,4,3,Successful,no,No,No,F,NO,5,No,0
Netflex R & D,808954,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$40,343 ",0.72,2015,2019,High,Compensation,6,5237,1230,3,167,73,6,4,2,5,4,3,Successful,yes,No,No,F,NO,5,No,0
Amazing R & D,781275,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z18,"$37,877 ",0.82,2012,2017,High,Compensation,8,6981,1336,2,128,65,7,4,2,4,6,1,Successful,yes,No,No,F,NO,5,No,1
Nikey R & D ,819417,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z19,"$43,897 ",0.67,2015,2019,High,Compensation,5,5870,1328,2,152,55,8,4,1,8,7,3,Successful,yes,No,No,F,NO,6,No,0
Alphabet-Soup Research & Development,105665,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z20,"$39,996 ",0.67,2013,2018,High,Compensation,8,7756,1326,2,174,73,5,8,2,5,9,1,Successful,No,Yes,Yes,M,NO,7,No,1
